,Spanish,German,Japanese,Korean
s_end_MultilayerMath1stLayer,Capa de sombra 1,Schattenschicht 1},シャドウレイヤー1},
s_start_MultilayerMath2ndLayer,Capa de sombra 2,Schattenschicht 2,シャドウレイヤー2,
_Shadow2ndReceive,Recibir sombra,Erhalten Sie Schatten,影を受け取ります,
s_end_MultilayerMath2ndLayer,Capa de sombra 2,Schattenschicht 2,シャドウレイヤー2,
s_start_MultilayerMath3rdLayer,Capa de sombra 3,Schattenschicht 3,シャドウレイヤー3,
_Shadow3rdReceive,Recibir sombra,Erhalten Sie Schatten,影を受け取ります,
s_end_MultilayerMath3rdLayer,Capa de sombra 3,Schattenschicht 3,シャドウレイヤー3,
s_start_MultilayerMathBorder,Borde,Grenze,国境,
s_end_MultilayerMathBorder,Borde,Grenze,国境,
s_start_MultilayerShadowMap,Mapa de sombras,Schattenkarte,シャドウマップ,
_ShadowMaskType,Tipo,Kartentyp,マップタイプ,
_ShadowStrengthMask,Textura de color,Farbe Tex,色のテックス,
_ShadowStrengthMaskPan,Barrido,Schwung,パン,
_ShadowStrengthMaskUV,UV,UV,UV,
_ShadowFlatBorder,Borde,Grenze,国境,
_ShadowFlatBlur,Desenfoque,Verwischen,ぼやけ,
s_end_MultilayerShadowMap,Mapa de sombras,Schattenkarte},シャドウマップ},
s_start_MultilayerMathBorderMap,Mapa del borde de las sombras,Schattenrandkarte,シャドウボーダーマップ,
_ShadowBorderMapToggle,Mapa del borde de las sombras,Schattenrandkarte umschaltet,シャドウボーダーマップの切り替え,
_ShadowBorderMask,Mapa de oculisión ambiental (AO),AO -Karte,AOマップ,
_ShadowBorderMaskPan,Barrido,Schwung,パン,
_ShadowBorderMaskUV,UV,UV,UV,
_ShadowBorderMaskLOD,Nivel de detalle (LOD),Border Map Lod,Border Map Lod,境界線マップ
_ShadowPostAO,Ignorar las propiedades del borde,Grenzeigenschaften ignorieren,ボーダープロパティを無視します,
_ShadowAOShift,Cambio de sombra de oclusión ambiental,Schatten AO -Verschiebung,シャドウAOシフト,
_ShadowAOShift2,Cambio de sombra de oclusión ambiental 2,Schatten AO -Verschiebung,シャドウAOシフト,
s_end_MultilayerMathBorderMap,Mapa del borde de las sombras,Schattenrandkarte,シャドウボーダーマップ,
_ShadowEnvStrength,Intensidad del entorno del color de la sombra,Env Stärke auf Schattenfarbe,影の色のenv強度,
_LightingWrappedColor,Color de envolvente,LELLSIDE CORPE,軽い色,
_ForceFlatRampedLightmap,Mapa de luz con rampa de fuerza,Kraft rampierte Lightmap,フォースランプされたライトマップ,
s_start_ShadingAddPass,Pasada adicional (Luces puntuales y de foco),Pass hinzufügen (Punkt- und Spotlichter),パスを追加（ポイントとスポットライト）,
s_end_ShadingAddPass,Pasada adicional (Luces puntuales y de foco),Pass hinzufügen,パスを追加します,
s_start_ShadingGlobalMask,Máscaras globales,Globale Masken,グローバルマスク,
_ShadingRampedLightMapApplyGlobalMaskIndex,Mapa de luces como máscara global,Lightmap zur globalen Maske,グローバルマスクからライトマップ,
_ShadingRampedLightMapApplyGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンド,
_ShadingRampedLightMapInverseApplyGlobalMaskIndex,Mapa de luces inversas como máscara global,Umgekehrte Lightmap zu globaler Maske,グローバルマスクから逆のライトマップ,
_ShadingRampedLightMapInverseApplyGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンド,
s_end_ShadingGlobalMask,Máscaras globales,Globale Masken,グローバルマスク,
_AnisoGlobalMask,Máscara global,Globale Maske,グローバルマスク,
_AnisoGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンド,
s_start_AnisoTopLayer,Capa superior,Oberschicht,最上層,
s_end_AnisoTopLayer,Capa superior,Oberschicht,最上層,
s_start_AnisoBottomLayer,Capa inferior,Untere Schicht,下層,
s_end_AnisoBottomLayer,Capa inferior,Untere Schicht,下層,
_MatcapPan,Barrido,Schwung,パン,
_MatcapUVToBlend,UV para mezclar,UV zu mischen,ブレンドするUV,
_MatCapBlendUV1,Mezcla UV,UV -Mischung,UVブレンド,
_MatcapRotation,Rotación,Drehung,回転,
_MatcapBaseColorMix,Mezcla de color base,Grundfarbenmischung,ベースカラーミックス,
_MatcapLightColorMix,Mezcla de color claro,Leichte Farbmischung,ライトカラーミックス,
s_start_Matcap0Masking,Enmascaramiento,Maskierung,マスキング,
_Matcap0CircleMaskEnabled,Máscara circular,Kreismaske,サークルマスク,
_Matcap0CircleMaskBorder,Radio,Radius,半径,
_Matcap0CircleMaskBlur,Desenfoque,Verwischen,ぼやけ,
s_end_Matcap0Masking,Enmascaramiento,Maskierung,マスキング,
s_start_Matcap0Blending,Mezcla,Mischen,ブレンド,
_MatcapScreen,Sobreexposición/Pantalla,Bildschirm,画面,
s_end_Matcap0Blending,Mezcla,Mischen,ブレンド,
s_start_MatcapNormal,Mapa de normales personalizado,Benutzerdefinierte normale Karte,カスタム通常のマップ,
s_start_MatcapHueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
_MatcapHueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_MatcapHueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
s_start_MatcapSmoothness,Desenfoque / Suavidad,Unglück / Glätte,ぼやけ /滑らかさ,
_MatcapSmoothness,Suavidad,Glätte,滑らかさ,
_MatcapMaskSmoothnessApply,Aplicar una máscara para la suavidad,Maske für Glätte auftragen,滑らかさのためにマスクを適用します,
_MatcapMaskSmoothnessChannel,Canal de máscara para la suavidad,Maskenkanal für Glätte,滑らかさのためのマスクチャネル,
s_start_matcapApplyToAlpha,Opciones alfa,Alpha -Optionen,アルファオプション,
_MatcapApplyToAlphaEnabled,Intensidad alfa,Intensität zu Alpha,アルファの強度,
_MatcapApplyToAlphaSourceBlend,Mezcla del origen,Quellmischung,ソースブレンド,
_MatcapApplyToAlphaBlendType,Tipo de mezcla,Mischtyp,ブレンドタイプ,
_MatcapApplyToAlphaBlending,Mezcla,Mischen,ブレンド,
s_start_MatcapTPSMaskGroup,Máscara MatCap TPS,MATCAP TPS -Maske,マットキャップ TPSマスク,
s_start_Matcap0AudioLink,AudioLink ♫,Audio -Link ♫,オーディオリンク♫,
_Matcap0ALEnabled,Activar AudioLink,Aktivieren Sie den Audio -Link,オーディオリンクを有効にします,
_Matcap0ALAlphaAddBand,Banda alfa,Alpha -Band,アルファバンド,
_Matcap0ALAlphaAdd,Modificador alfa,Alpha Mod,アルファ mod,
_Matcap0ALEmissionAddBand,Banda de emisión,Emissionsband,発光バンド,
_Matcap0ALEmissionAdd,Modificador de emisión,Emissionsmod,発光量mod,
_Matcap0ALIntensityAddBand,Banda de intensidad,Intensitätsband,強度バンド,
_Matcap0ALIntensityAdd,Modificador de intensidad,Intensitätsmod,強度mod,
_Matcap0ALChronoPanType,Tipo de cronotensidad,Chrono Pan Typ,クロノパンタイプ,
_Matcap0ALChronoPanBand,Banda de cronotensidad,Chrono Pan Band,クロノパンバンド,
_Matcap0ALChronoPanSpeed,Velocidad de cronotensidad,Chrono Pan Speed,クロノパンスピード,
s_end_Matcap0AudioLink,AudioLink,Audio -Link,オーディオリンク,
_Matcap2Pan,Barrido,Schwung,パン,
_Matcap2UVToBlend,UV para mezclar,UV zu mischen,ブレンドするUV,
_MatCap2ndBlendUV1,Mezcla UV,UV -Mischung,UVブレンド,
_Matcap2Rotation,Rotación,Drehung,回転,
_Matcap2BaseColorMix,Mezcla de color base,Grundfarbenmischung,ベースカラーミックス,
_Matcap2LightColorMix,Mezcla de color claro,Leichte Farbmischung,ライトカラーミックス,
s_start_Matcap1Masking,Enmascaramiento,Maskierung,マスキング,
_Matcap2CircleMaskEnabled,Máscara circular,Kreismaske,サークルマスク,
_Matcap2CircleMaskBorder,Radio,Radius,半径,
_Matcap2CircleMaskBlur,Desenfoque,Verwischen,ぼやけ,
s_end_Matcap1Masking,Enmascaramiento,Maskierung,マスキング,
s_start_Matcap1Blending,Mezcla,Mischen,ブレンド,
_Matcap2Screen,Sobreexposición/Pantalla,Bildschirm,画面,
s_end_Matcap1Blending,Mezcla,Mischen,ブレンド,
s_start_Matcap1Normal,Mapa de normales personalizado,Benutzerdefinierte normale Karte,カスタム通常のマップ,
s_start_Matcap1HueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
_Matcap2HueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_Matcap2HueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
s_start_Matcap1Smoothness,Desenfoque / Suavidad,Unglück / Glätte,ぼやけ /滑らかさ,
_Matcap2Smoothness,Suavidad,Glätte,滑らかさ,
_Matcap2MaskSmoothnessApply,Aplicar una máscara para la suavidad,Maske für Glätte auftragen,滑らかさのためにマスクを適用します,
_Matcap2MaskSmoothnessChannel,Canal de máscara para la suavidad,Maskenkanal für Glätte,滑らかさのためのマスクチャネル,
s_start_matcap1ApplyToAlpha,Opciones alfa,Alpha -Optionen,アルファオプション,
_Matcap2ApplyToAlphaEnabled,Intensidad alfa,Intensität zu Alpha,アルファの強度,
_Matcap2ApplyToAlphaSourceBlend,Mezcla del origen,Quellmischung,ソースブレンド,
_Matcap2ApplyToAlphaBlendType,Tipo de mezcla,Mischtyp,ブレンドタイプ,
_Matcap2ApplyToAlphaBlending,Mezcla,Mischen,ブレンド,
s_start_Matcap2TPSMaskGroup,Máscara MatCap TPS,MATCAP TPS -Maske,マットキャップ TPSマスク,
s_start_Matcap1AudioLink,AudioLink ♫,Audio -Link ♫,オーディオリンク♫,
_Matcap1ALEnabled,Activar AudioLink,Aktivieren Sie den Audio -Link,オーディオリンクを有効にします,
_Matcap1ALAlphaAddBand,Banda alfa,Alpha -Band,アルファバンド,
_Matcap1ALAlphaAdd,Modificador alfa,Alpha Mod,アルファ mod,
_Matcap1ALEmissionAddBand,Banda de emisión,Emissionsband,発光バンド,
_Matcap1ALEmissionAdd,Modificador de emisión,Emissionsmod,発光量mod,
_Matcap1ALIntensityAddBand,Banda de intensidad,Intensitätsband,強度バンド,
_Matcap1ALIntensityAdd,Modificador de intensidad,Intensitätsmod,強度mod,
_Matcap1ALChronoPanType,Tipo de cronotensidad,Chrono Pan Typ,クロノパンタイプ,
_Matcap1ALChronoPanBand,Banda de cronotensidad,Chrono Pan Band,クロノパンバンド,
_Matcap1ALChronoPanSpeed,Velocidad de cronotensidad,Chrono Pan Speed,クロノパンスピード,
s_end_Matcap1AudioLink,AudioLink,Audio -Link,オーディオリンク,
_Matcap3Pan,Barrido,Schwung,パン,
_Matcap3UVToBlend,UV para mezclar,UV zu mischen,ブレンドするUV,
_MatCap3rdBlendUV1,Mezcla UV,UV -Mischung,UVブレンド,
_Matcap3Rotation,Rotación,Drehung,回転,
_Matcap3BaseColorMix,Mezcla de color base,Grundfarbenmischung,ベースカラーミックス,
_Matcap3LightColorMix,Mezcla de color claro,Leichte Farbmischung,ライトカラーミックス,
s_start_Matcap2Masking,Enmascaramiento,Maskierung,マスキング,
_Matcap3CircleMaskEnabled,Máscara circular,Kreismaske,サークルマスク,
_Matcap3CircleMaskBorder,Radio,Radius,半径,
_Matcap3CircleMaskBlur,Desenfoque,Verwischen,ぼやけ,
s_end_Matcap2Masking,Enmascaramiento,Maskierung,マスキング,
s_start_Matcap2Blending,Mezcla,Mischen,ブレンド,
_Matcap3Screen,Sobreexposición/Pantalla,Bildschirm,画面,
s_end_Matcap2Blending,Mezcla,Mischen,ブレンド,
s_start_Matcap2Normal,Mapa de normales personalizado,Benutzerdefinierte normale Karte,カスタム通常のマップ,
s_start_Matcap2HueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
_Matcap3HueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_Matcap3HueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
s_start_Matcap2Smoothness,Desenfoque / Suavidad,Unglück / Glätte,ぼやけ /滑らかさ,
_Matcap3Smoothness,Suavidad,Glätte,滑らかさ,
_Matcap3MaskSmoothnessApply,Aplicar una máscara para la suavidad,Maske für Glätte auftragen,滑らかさのためにマスクを適用します,
_Matcap3MaskSmoothnessChannel,Canal de máscara para la suavidad,Maskenkanal für Glätte,滑らかさのためのマスクチャネル,
s_start_matcap2ApplyToAlpha,Opciones alfa,Alpha -Optionen,アルファオプション,
_Matcap3ApplyToAlphaEnabled,Intensidad alfa,Intensität zu Alpha,アルファの強度,
_Matcap3ApplyToAlphaSourceBlend,Mezcla del origen,Quellmischung,ソースブレンド,
_Matcap3ApplyToAlphaBlendType,Tipo de mezcla,Mischtyp,ブレンドタイプ,
_Matcap3ApplyToAlphaBlending,Mezcla,Mischen,ブレンド,
s_start_Matcap3TPSMaskGroup,Máscara MatCap TPS,MATCAP TPS -Maske,マットキャップ TPSマスク,
s_start_Matcap2AudioLink,AudioLink ♫,Audio -Link ♫,オーディオリンク♫,
_Matcap2ALEnabled,Activar AudioLink,Aktivieren Sie den Audio -Link,オーディオリンクを有効にします,
_Matcap2ALAlphaAddBand,Banda alfa,Alpha -Band,アルファバンド,
_Matcap2ALAlphaAdd,Modificador alfa,Alpha Mod,アルファ mod,
_Matcap2ALEmissionAddBand,Banda de emisión,Emissionsband,発光バンド,
_Matcap2ALEmissionAdd,Modificador de emisión,Emissionsmod,発光量mod,
_Matcap2ALIntensityAddBand,Banda de intensidad,Intensitätsband,強度バンド,
_Matcap2ALIntensityAdd,Modificador de intensidad,Intensitätsmod,強度mod,
_Matcap2ALChronoPanType,Tipo de cronotensidad,Chrono Pan Typ,クロノパンタイプ,
_Matcap2ALChronoPanBand,Banda de cronotensidad,Chrono Pan Band,クロノパンバンド,
_Matcap2ALChronoPanSpeed,Velocidad de cronotensidad,Chrono Pan Speed,クロノパンスピード,
s_end_Matcap2AudioLink,AudioLink,Audio -Link,オーディオリンク,
_Matcap4Pan,Barrido,Schwung,パン,
_Matcap4UVToBlend,UV para mezclar,UV zu mischen,ブレンドするUV,
_MatCap4thBlendUV1,Mezcla UV,UV -Mischung,UVブレンド,
_Matcap4Rotation,Rotación,Drehung,回転,
_Matcap4BaseColorMix,Mezcla de color base,Grundfarbenmischung,ベースカラーミックス,
_Matcap4LightColorMix,Mezcla de color claro,Leichte Farbmischung,ライトカラーミックス,
s_start_Matcap3Masking,Enmascaramiento,Maskierung,マスキング,
_Matcap4CircleMaskEnabled,Máscara circular,Kreismaske,サークルマスク,
_Matcap4CircleMaskBorder,Radio,Radius,半径,
_Matcap4CircleMaskBlur,Desenfoque,Verwischen,ぼやけ,
s_end_Matcap3Masking,Enmascaramiento,Maskierung,マスキング,
s_start_Matcap3Blending,Mezcla,Mischen,ブレンド,
_Matcap4Screen,Sobreexposición/Pantalla,Bildschirm,画面,
s_end_Matcap3Blending,Mezcla,Mischen,ブレンド,
s_start_Matcap3Normal,Mapa de normales personalizado,Benutzerdefinierte normale Karte,カスタム通常のマップ,
s_start_Matcap3HueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
_Matcap4HueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_Matcap4HueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
s_start_Matcap3Smoothness,Desenfoque / Suavidad,Unglück / Glätte,ぼやけ /滑らかさ,
_Matcap4Smoothness,Suavidad,Glätte,滑らかさ,
_Matcap4MaskSmoothnessApply,Aplicar una máscara para la suavidad,Maske für Glätte auftragen,滑らかさのためにマスクを適用します,
_Matcap4MaskSmoothnessChannel,Canal de máscara para la suavidad,Maskenkanal für Glätte,滑らかさのためのマスクチャネル,
s_start_matcap3ApplyToAlpha,Opciones alfa,Alpha -Optionen,アルファオプション,
_Matcap4ApplyToAlphaEnabled,Intensidad alfa,Intensität zu Alpha,アルファの強度,
_Matcap4ApplyToAlphaSourceBlend,Mezcla del origen,Quellmischung,ソースブレンド,
_Matcap4ApplyToAlphaBlendType,Tipo de mezcla,Mischtyp,ブレンドタイプ,
_Matcap4ApplyToAlphaBlending,Mezcla,Mischen,ブレンド,
s_start_Matcap4TPSMaskGroup,Máscara MatCap TPS,MATCAP TPS -Maske,マットキャップ TPSマスク,
s_start_Matcap3AudioLink,AudioLink ♫,Audio -Link ♫,オーディオリンク♫,
_Matcap3ALEnabled,Activar AudioLink,Aktivieren Sie den Audio -Link,オーディオリンクを有効にします,
_Matcap3ALAlphaAddBand,Banda alfa,Alpha -Band,アルファバンド,
_Matcap3ALAlphaAdd,Modificador alfa,Alpha Mod,アルファ mod,
_Matcap3ALEmissionAddBand,Banda de emisión,Emissionsband,発光バンド,
_Matcap3ALEmissionAdd,Modificador de emisión,Emissionsmod,発光量mod,
_Matcap3ALIntensityAddBand,Banda de intensidad,Intensitätsband,強度バンド,
_Matcap3ALIntensityAdd,Modificador de intensidad,Intensitätsmod,強度mod,
_Matcap3ALChronoPanType,Tipo de cronotensidad,Chrono Pan Typ,クロノパン・タイプ,
_Matcap3ALChronoPanBand,Banda de cronotensidad,Chrono Pan Band,クロノパン・バンド,
_Matcap3ALChronoPanSpeed,Velocidad de cronotensidad,Chrono Pan Speed,クロノパン・スピード,
s_end_Matcap3AudioLink,AudioLink,Audio -Link,オーディオリンク,
_CubemapBlendType,Tipo de mezcla,Mischen,ブレンド,
_CubeMapBlendAmount,Mezclar alfa,Mischen Sie Alpha,アルファをブレンドします,
_CubeMapSmoothness,Suavidad,Glätte,滑らかさ,
s_start_CubeMapMasking,Enmascaramiento,Maskierung,マスキング,
s_end_CubeMapMasking,Enmascaramiento,Maskierung,マスキング,
s_start_CubeMapColorAdjust,Ajuste de color,Farbanpassung,色調整,
_CubeMapHueShiftColorSpace,Espacio del color,Farbraum,カラースペース,
_CubeMapHueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
_CubeMapBrightness,Brillo,Helligkeit,輝度,
_CubeMapContrast,Contraste,Kontrast,対比,
_CubeMapSaturation,Saturación,Sättigung,飽和,
_Set_RimLightMaskPan,Barrido,Schwung,パン,
_Set_RimLightMaskUV,UV,UV,UV,
_Set_RimLightMaskChannel,Canal,Kanal,チャネル,
_RimMaskInvert,Invertir máscara,Maske invertieren,マスクを反転させます,
_RimBiasIntensity,Intensidad del sesgo,Verzerrungsintensität,バイアス強度,
s_start_RimLight0Color,Color y mezcla,Farbe & Mischen,色とブレンド,
_RimPoiBlendMode,Modo de mezcla,Mischmodus,ブレンドモード,
s_end_RimLight0Color,Color y brillo,Farbe und Helligkeit,色と明るさ,
s_start_RimLight0ShapeControls,Controles de forma,Formsteuerungen,形状コントロール,
s_end_RimLight0ShapeControls,Controles de forma,Formsteuerungen,形状コントロール,
s_start_RimLight0LightDirMask,Máscara de dirección de luz,Leichte Richtungsmaske,ライト方向マスク,
s_end_RimLight0LightDirMask,Máscara de dirección de luz,Leichte Richtungsmaske,ライト方向マスク,
s_start_RimLightDirectionMask,Máscara de dirección de luz,Leichte Richtungsmaske,ライト方向マスク,
s_end_RimLightDirectionMask,Máscara de dirección de luz,Leichte Richtungsmaske,ライト方向マスク,
_RimMaskOnlyMask,Solo la máscara,Nur Maske,マスクのみ,
s_start_liltoon_rim_lightdir,Dirección de luz,Leichte Richtung,明るい方向,
s_start_RimLight0HueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
_RimHueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_RimHueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
s_end_RimLight0HueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
s_start_RimLight0GlobalMasking,Alfa y enmascaramiento global,Alpha & Global Maskierung,アルファ＆グローバルマスキング,
_RimApplyAlpha,Aplicar al alfa,Bewerben Sie sich bei Alpha,アルファに適用します,
_RimApplyAlphaBlend,Aplicar a  la mezcla alpha,Bewerben Sie sich bei der Alpha -Mischung,アルファブレンドに適用します,
s_end_RimLight0GlobalMasking,Alfa y enmascaramiento global,Alpha & Global Maskierung,アルファ＆グローバルマスキング,
_Set_Rim2LightMaskPan,Barrido,Schwung,パン,
_Set_Rim2LightMaskUV,UV,UV,UV,
_Set_Rim2LightMaskChannel,Canal,Kanal,チャネル,
_Rim2MaskInvert,Invertir máscara,Maske invertieren,マスクを反転させます,
_Rim2BiasIntensity,Intensidad del sesgo,Verzerrungsintensität,バイアス強度,
s_start_RimLight1Color,Color y mezcla,Farbe & Mischen,色とブレンド,
_RimPoi2BlendMode,Modo de mezcla,Mischmodus,ブレンドモード,
s_end_RimLight1Color,Color y brillo,Farbe und Helligkeit,色と明るさ,
s_start_RimLight1ShapeControls,Controles de forma,Formsteuerungen,形状コントロール,
s_end_RimLight1ShapeControls,Controles de forma,Formsteuerungen,形状コントロール,
s_start_RimLight1LightDirMask,Máscara de dirección de luz,Leichte Richtungsmaske,ライト方向マスク,
s_end_RimLight1LightDirMask,Máscara de dirección de luz,Leichte Richtungsmaske,ライト方向マスク,
s_start_RimLight2DirectionMask,Máscara de dirección de luz,Leichte Richtungsmaske,ライト方向マスク,
s_end_RimLight2DirectionMask,Máscara de dirección de luz,Leichte Richtungsmaske,ライト方向マスク,
_Rim2MaskOnlyMask,Solo la máscara,Nur Maske,マスクのみ,
s_start_liltoon_rim2_lightdir,Dirección de la luz,Leichte Richtung,明るい方向,
s_start_RimLight1HueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
_Rim2HueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_Rim2HueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
s_end_RimLight1HueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
s_start_RimLight1GlobalMasking,Alfa y enmascaramiento global,Alpha & Global Maskierung,アルファ＆グローバルマスキング,
_Rim2ApplyAlpha,Intensidad alfa,Intensität zu Alpha,アルファの強度,
_Rim2ApplyAlphaBlend,Intensidad de la mezclar alfa,Intensität zur Alpha -Mischung,アルファブレンドの強度,
s_end_RimLight1GlobalMasking,Alfa y enmascaramiento global,Alpha & Global Maskierung,アルファ＆グローバルマスキング,
s_start_FixedRimShapeControl,Control de forma,Formkontrolle,形状制御,
s_end_FixedRimShapeControl,Control de forma,Formkontrolle,形状制御,
s_start_FixedRimColor,Color,Farbe,色,
s_end_FixedRimColor,Color,Farbe,色,
s_start_FixedRimBlending,Mezcla,Mischen,ブレンド,
s_end_FixedRimBlending,Mezcla,Mischen,ブレンド,
_SSSBaseColorMix,Mezcla del color base,Grundfarbenmischung,ベースカラーミックス,
_RefSpecFresnelStrength,Intensidad de Fresnel,Fresnel Stärke,フレネルの強さ,
_SFExposureOcclusion,Oclusión de exposición,Expositionsverschluss,曝露閉塞,
s_start_BRDFTPSMaskGroup,TPS,Tps,TPS,
s_start_ggxanisotropics,Anisotrópicos,Anisotropika,異方性,
_GGXAnisotropics,Activar,Aktivieren,有効にする,
_AnisotropyMap,Mapa de anisotropía,Anisotropy -Karte,異方性マップ,
_AnisotropyMapPan,Barrido,Schwung,パン,
_AnisotropyMapUV,UV,UV,UV,
_AnisotropyMapChannel,Canal,Kanal,チャネル,
_Anisotropy,Anisotropía,Anisotropie,異方性,
_ReflectionAnisotropicStretch,Estiramiento de reflexión,Reflexionsdehnung,反射ストレッチ,
_RoughnessAnisotropy,Anisotropía de rugosidad,Rauheit Anisotropie,粗い異方性,
s_start_PBRSecondSpecular,Segunda especular,2. Spekulare,2番目の鏡面,
s_end_PBRSecondSpecular,Nombre,Name,名前,
s_start_PBRSplitMaskSample,Muestreo de máscara dividida,Split -Masken -Probenahme,分割マスクサンプリング,
s_end_PBRSplitMaskSample,Muestreo de máscara dividida,Split -Masken -Probenahme,分割マスクサンプリング,
s_start_brdfadvanced,Suavizado de bordes geométricos (GSAA) y controles avanzados,GSAA & Advanced Controls,GSAAと高度な設定,
_MochieMetallicGlobalMask,Metálico,Metallisch,メタリック,
_MochieMetallicGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンド,
_MochieSmoothnessGlobalMask,Suavidad,Glätte,滑らかさ,
_MochieSmoothnessGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンド,
_ClearcoatFresnelStrength,Intensidad de Fresnel,Fresnel Stärke,フレネルの強さ,
_ClearcoatExposureOcclusion,Oclusión de exposición,Expositionsverschluss,曝露閉塞,
_ClearCoatMapsClearCoatMaskChannel,Canal de máscara de barniz,Clearcoat -Maskenkanal,クリアコート・マスクチャネル,
_ClearCoatMapsRoughnessChannel,Canal de suavidad,Smoothness -Kanal,滑らかさチャネル,
_ClearCoatMapsReflectionMaskChannel,Canal de máscara reflexiva,Reflexionsmaskenkanal,反射マスクチャネル,
_ClearCoatMapsSpecularMaskChannel,Canal de máscara especular,Spiegelmaskenkanal,鏡面マスクチャネル,
s_start_ClearCoatTPSMaskGroup,Máscara TPS,TPS -Maske,TPSマスク,
_ClearCoatGlobalMask,Barniz,Clearcoat,クリアコート,
_ClearCoatGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンド,
_ClearCoatSmoothnessGlobalMask,Suavidad,Glätte,滑らかさ,
_ClearCoatSmoothnessGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンド,
_StylizedReflectionMode,Modo,Modus,モード,
s_start_StylizedReflectionMode0,Especular al estilo Unity-chan,Einheit Chan Specular,ユニティーちゃん風反射,
_StylizedSpecularInvertMask,Invertir máscara,Maske invertieren,マスクを反転させます,
_StylizedSpecularNormalStrength,Intensidad de las normal,Normale Stärke,通常の強度,
s_start_StylizedSpecularLayer0,Capa 1,Schicht 1,レイヤー1,
s_end_StylizedSpecularLayer0,Capa 1,Schicht 1,レイヤー1,
s_start_StylizedSpecularLayer1,Capa 2,Schicht 2,レイヤー2,
s_end_StylizedSpecularLayer1,Capa 2,Schicht 2,レイヤー2,
s_start_StylizedSpecularAdvanced,Avanzado,Fortschrittlich,高度な,
_StylizedSpecularIgnoreNormal,Mostrar en la cara trasera,Auf der Rückseite zeigen,後ろに表示します,
_StylizedSpecularIgnoreShadow,Ignorar sombras,Schatten ignorieren,影を無視します,
s_end_StylizedSpecularAdvanced,Avanzado,Fortschrittlich,高度な,
s_start_StylizedReflectionMode1,Reflexiones similares a LilToon,Kleine Überlegungen,リルリフレクション,
_UseReflection,Activar,Sreflexion,反射,
_SmoothnessTex,Textura de suavidad,Glätte,滑らかさ,
_Smoothness,Suavidad,Glätte,滑らかさ,
_GSAAStrength,Suavizado de bordes geométricos (GSAA),GSAA,GSAA,
_MetallicGlossMap,Mapa de brillo metálico,Metallisch,メタリック,
_Metallic,Metálico,Metallisch,メタリック,
_ReflectionCubeColor,Color/Máscara,Farbe / Maske,色 /マスク,
_Reflectance,Reflectancia,Reflexionsvermögen,反射率,
s_start_StylizedReflectionLilSpecular,Especular,Spekuliert,鏡面,
_SpecularToon,Modo especular,Spiegelmodus,鏡面モード,
_ApplySpecular,Aplicar especular,Specular anwenden,鏡面を適用します,
_SpecularNormalStrength,Intensidad de las normales,Normale Stärke,通常の強度,
_SpecularBorder,Borde,Grenze,国境,
_SpecularBlur,Desenfoque,Verwischen,ぼやけ,
_ApplySpecularFA,Especular de luces múltiples,Multilight Specular,マルチライト鏡面,
s_start_StylizedReflectionLilEnviroReflections,Reflexiones ambientales,Umweltreflexionen,環境反射,
_ApplyReflection,Reflexiones de entorno,Enviro -Überlegungen,環境反射,
_ReflectionNormalStrength,Intensidad de las normales,Normale Stärke,通常の強度,
_ReflectionColor,Color,Farbe,色,
_ReflectionColorTex,Color,Farbe,色,
_ReflectionCubeTex,Cubemap de respaldo,Cubemap Fallback,キューブマップフォールバック,
_ReflectionCubeOverride,Anular,Überschreiben,オーバーライド,
_ReflectionCubeEnableLighting,Activar la iluminación alternativa,Aktivieren Sie die Beleuchtung,照明のフォールバックを有効にします,
